18/10/21 05:26:39 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.10-hadoop2
18/10/21 05:26:40 INFO client.RMProxy: Connecting to ResourceManager at cluster-1601-m/10.138.0.2:8032
18/10/21 05:26:41 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/10/21 05:26:42 INFO gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
18/10/21 05:26:42 INFO gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
18/10/21 05:26:42 INFO input.FileInputFormat: Total input files to process : 74
18/10/21 05:26:42 INFO mapreduce.JobSubmitter: number of splits:74
18/10/21 05:26:43 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1540094713046_0002
18/10/21 05:26:43 INFO impl.YarnClientImpl: Submitted application application_1540094713046_0002
18/10/21 05:26:43 INFO mapreduce.Job: The url to track the job: http://cluster-1601-m:8088/proxy/application_1540094713046_0002/
18/10/21 05:26:43 INFO mapreduce.Job: Running job: job_1540094713046_0002
18/10/21 05:26:49 INFO mapreduce.Job: Job job_1540094713046_0002 running in uber mode : false
18/10/21 05:31:16 INFO mapreduce.Job:  map 94% reduce 0%
18/10/21 05:31:17 INFO mapreduce.Job:  map 95% reduce 0%
18/10/21 05:31:20 INFO mapreduce.Job:  map 97% reduce 0%
18/10/21 05:31:21 INFO mapreduce.Job:  map 98% reduce 0%
18/10/21 05:31:24 INFO mapreduce.Job:  map 99% reduce 0%
18/10/21 05:31:26 INFO mapreduce.Job:  map 100% reduce 0%
18/10/21 05:31:42 INFO mapreduce.Job:  map 100% reduce 4%
18/10/21 05:31:43 INFO mapreduce.Job:  map 100% reduce 7%
18/10/21 05:31:45 INFO mapreduce.Job:  map 100% reduce 18%
18/10/21 05:31:46 INFO mapreduce.Job:  map 100% reduce 26%
18/10/21 05:31:48 INFO mapreduce.Job:  map 100% reduce 33%
18/10/21 05:31:50 INFO mapreduce.Job:  map 100% reduce 41%
18/10/21 05:31:51 INFO mapreduce.Job:  map 100% reduce 43%
18/10/21 05:31:52 INFO mapreduce.Job:  map 100% reduce 45%
18/10/21 05:31:55 INFO mapreduce.Job:  map 100% reduce 46%
18/10/21 05:31:56 INFO mapreduce.Job:  map 100% reduce 47%
18/10/21 05:31:57 INFO mapreduce.Job:  map 100% reduce 49%
18/10/21 05:31:58 INFO mapreduce.Job:  map 100% reduce 51%
18/10/21 05:32:01 INFO mapreduce.Job:  map 100% reduce 52%
18/10/21 05:32:02 INFO mapreduce.Job:  map 100% reduce 53%
18/10/21 05:32:03 INFO mapreduce.Job:  map 100% reduce 55%
18/10/21 05:32:04 INFO mapreduce.Job:  map 100% reduce 56%
18/10/21 05:32:06 INFO mapreduce.Job:  map 100% reduce 57%
18/10/21 05:32:08 INFO mapreduce.Job:  map 100% reduce 58%
18/10/21 05:32:09 INFO mapreduce.Job:  map 100% reduce 59%
18/10/21 05:32:10 INFO mapreduce.Job:  map 100% reduce 61%
18/10/21 05:32:13 INFO mapreduce.Job:  map 100% reduce 62%
18/10/21 05:32:15 INFO mapreduce.Job:  map 100% reduce 63%
18/10/21 05:32:16 INFO mapreduce.Job:  map 100% reduce 65%
18/10/21 05:32:19 INFO mapreduce.Job:  map 100% reduce 66%
18/10/21 05:32:20 INFO mapreduce.Job:  map 100% reduce 67%
18/10/21 05:32:22 INFO mapreduce.Job:  map 100% reduce 69%
18/10/21 05:32:24 INFO mapreduce.Job:  map 100% reduce 73%
18/10/21 05:32:25 INFO mapreduce.Job:  map 100% reduce 74%
18/10/21 05:32:26 INFO mapreduce.Job:  map 100% reduce 75%
18/10/21 05:32:27 INFO mapreduce.Job:  map 100% reduce 76%
18/10/21 05:32:28 INFO mapreduce.Job:  map 100% reduce 77%
18/10/21 05:32:30 INFO mapreduce.Job:  map 100% reduce 79%
18/10/21 05:32:31 INFO mapreduce.Job:  map 100% reduce 80%
18/10/21 05:32:32 INFO mapreduce.Job:  map 100% reduce 81%
18/10/21 05:32:33 INFO mapreduce.Job:  map 100% reduce 82%
18/10/21 05:32:34 INFO mapreduce.Job:  map 100% reduce 83%
18/10/21 05:32:36 INFO mapreduce.Job:  map 100% reduce 84%
18/10/21 05:32:38 INFO mapreduce.Job:  map 100% reduce 85%
18/10/21 05:32:39 INFO mapreduce.Job:  map 100% reduce 86%
18/10/21 05:32:40 INFO mapreduce.Job:  map 100% reduce 88%
18/10/21 05:32:43 INFO mapreduce.Job:  map 100% reduce 89%
18/10/21 05:32:45 INFO mapreduce.Job:  map 100% reduce 90%
18/10/21 05:32:46 INFO mapreduce.Job:  map 100% reduce 91%
18/10/21 05:32:48 INFO mapreduce.Job:  map 100% reduce 92%
18/10/21 05:32:50 INFO mapreduce.Job:  map 100% reduce 93%
18/10/21 05:32:51 INFO mapreduce.Job:  map 100% reduce 94%
18/10/21 05:32:52 INFO mapreduce.Job:  map 100% reduce 95%
18/10/21 05:32:56 INFO mapreduce.Job:  map 100% reduce 96%
18/10/21 05:33:00 INFO mapreduce.Job:  map 100% reduce 97%
18/10/21 05:33:06 INFO mapreduce.Job:  map 100% reduce 98%
18/10/21 05:33:12 INFO mapreduce.Job:  map 100% reduce 99%
18/10/21 05:33:18 INFO mapreduce.Job:  map 100% reduce 100%
18/10/21 05:33:27 INFO mapreduce.Job: Job job_1540094713046_0002 completed successfully
18/10/21 05:33:27 INFO mapreduce.Job: Counters: 55
	File System Counters
		FILE: Number of bytes read=19800595911
		FILE: Number of bytes written=30130716821
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=3358558058
		GS: Number of bytes written=91426620
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=10952
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=74
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Launched map tasks=75
		Launched reduce tasks=11
		Rack-local map tasks=75
		Total time spent by all maps in occupied slots (ms)=8556321
		Total time spent by all reduces in occupied slots (ms)=2858373
		Total time spent by all map tasks (ms)=2852107
		Total time spent by all reduce tasks (ms)=952791
		Total vcore-milliseconds taken by all map tasks=2852107
		Total vcore-milliseconds taken by all reduce tasks=952791
		Total megabyte-milliseconds taken by all map tasks=8761672704
		Total megabyte-milliseconds taken by all reduce tasks=2926973952
	Map-Reduce Framework
		Map input records=74
		Map output records=542247079
		Map output bytes=9234211768
		Map output materialized bytes=10318710810
		Input split bytes=10952
		Combine input records=0
		Combine output records=0
		Reduce input groups=1076757
		Reduce shuffle bytes=10318710810
		Reduce input records=542247079
		Reduce output records=1076757
		Spilled Records=1582634580
		Shuffled Maps =814
		Failed Shuffles=0
		Merged Map outputs=814
		GC time elapsed (ms)=127340
		CPU time spent (ms)=3236240
		Physical memory (bytes) snapshot=117062803456
		Virtual memory (bytes) snapshot=374139232256
		Total committed heap usage (bytes)=115357515776
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=3358558058
	File Output Format Counters 
		Bytes Written=91426620
