"URL","Status_Code"
"https://www.wsj.com/articles/dollar-loses-its-mojo-1538305200","200"
"https://www.wsj.com/articles/mattis-trip-to-china-canceled-1538373418?mod=hp_listb_pos2","200"
"https://www.wsj.com/news/magazine/fashion","200"
"https://www.wsj.com/news/us","200"
"http://www.wsj.com/podcasts?mod=video","301"
"http://www.wsj.com/video/browse/life-culture/arts-and-entertainment","301"
"https://www.wsj.com/articles/are-eggs-bad-for-you-two-scientists-square-off-1536866255?mod=hp_jr_pos1","200"
"http://www.wsj.com/video/browse/news","301"
"https://www.wsj.com/podcasts/latest/wsj-tech-news-briefing","200"
"https://www.wsj.com/news/markets/oil-gold-commodities-futures","200"
"https://www.wsj.com/articles/tesla-shares-bounce-back-after-friday-decline-1538405289?mod=hp_major_pos17","200"
"https://www.wsj.com/news/types/europe-news","200"
"https://www.wsj.com/graphics/tech-startup-stocks-to-watch/","200"
"http://www.wsj.com/video/programs","301"
"https://www.wsj.com/articles/escape-from-new-york-slaughterhouse-refugees-have-a-country-place-1538423513?mod=hp_featst_pos3","200"
"http://www.wsj.com/video/browse/business/economy","301"
"https://www.wsj.com/articles/two-former-sbm-offshore-executives-sent-to-prison-for-bribery-1538173859?mod=hp_minor_pos11","200"
"https://www.wsj.com/video/browse/life-culture/arts-and-entertainment","200"
"http://www.wsj.com/video/browse/personal-finance/real-estate","301"
"https://www.wsj.com/articles/italys-bonds-fall-further-on-budget-concerns-1538416687","200"
"https://www.wsj.com/news/tech/future-of-everything","200"
"https://www.wsj.com/articles/photos-of-the-day-oct-1-1538422371?mod=hp_slidecent_pos1","200"
"http://www.wsj.com/video/browse/life-culture/books","301"
"https://www.wsj.com/video/browse/life-culture","200"
"https://www.wsj.com/public/page/news-wall-street.html","200"
"https://www.wsj.com/video/browse/news/politics-and-campaign","200"
"http://www.wsj.com/video/topics","301"
"https://www.wsj.com/articles/robots-head-for-the-fields-1538426976?mod=hp_lead_pos11","200"
"https://www.wsj.com/video/browse/opinion","200"
"http://www.wsj.com/video/browse/business/boss-talk","301"
"https://www.wsj.com/news/types/letters","200"
"https://www.wsj.com/news/author/5472","200"
